cust_id,cust_first_name,cust_last_name,cust_username,cust_password,cust_record_create_date,mag_id,mag_name,mag_cost,mag_record_status,mag_record_create_date,prof_cust_cont_id,prof_phone,prof_zip,prof_state,prof_city,prof_street_address,prof_contact_type,prof_record_update_stamp,prof_record_status,prof_start_date,prof_end_date,sub_id,sub_num_mags_mailed,sub_payment_completed,sub_start_date,sub_end_date,pay_id,pay_amount,pay_type,pay_date,pay_card_num,pay_card_code,pay_record_create_date,category,
11,George,Williams,U)8o-George,CElrM9,2007-05-19,11,closed-guava,14.68,0,2019-07-03,11,188-376-1682,05472,VT,New Haven,386 Daniels Road,0,2014-10-03,0,2020-12-30,2013-05-24,11,13,0,2005-09-03,2009-03-11,11,99.13,0,2001-06-10,4916117869002094,5230,2008-11-25,fruit,
12,Virginia,Muller,h?5S1h-Virginia,bI0s,2003-07-01,12,orange-nectarine,28.12,0,2007-10-04,12,887-795-9292,20019,DC,Washington,3325 Dix Street Northeast,0,2004-12-17,0,2013-09-09,2021-03-20,12,5,0,2021-02-15,2004-12-14,12,75.03,0,2007-07-30,4532984681142463,4175,2012-10-24,fruit,
13,Antonio,Gilligan,GcF0f-Antonio,v3DLq,2009-03-23,13,andante-moat,20.95,0,2000-05-13,13,098-557-9192,20019,DC,Washington,832 51st Street Northeast,0,2009-12-22,0,2001-10-28,2012-04-12,13,0,0,2005-07-27,2014-02-28,13,15.38,0,2008-08-17,4831795695096513,7274,2014-02-06,fortifications,
14,Jerry,Cote,-Z0u-Jerry,Ey8>c,2002-08-21,14,careful-atmosphere,26.14,0,2020-07-16,14,549-869-1782,32456,FL,Mexico Beach,106 Parker Parkway,0,2016-10-13,0,2007-12-02,2011-11-12,14,1,0,2013-08-10,2021-06-08,14,16.34,0,2012-05-18,4485287401124622,7743,2010-09-12,screenwriting,
15,Chris,Wylie,1h)Rl-Chris,E$6aYm,2007-03-27,15,olive-string,13.85,0,2017-03-21,15,608-541-8879,72701,AR,Fayetteville,140 South Hill Avenue,0,2009-12-12,0,2005-09-17,2007-05-15,15,3,0,2004-05-02,2019-07-23,15,48.19,0,2002-04-03,4929604418222310,2052,2008-09-27,data_structures,
16,Berta,Viera,y1La.C-Berta,f3tG+q,2005-04-13,16,canary-keyword,22.12,0,2004-10-01,16,805-512-8586,40210,KY,Louisville,1822 Dixdale Avenue,0,2003-01-22,0,2008-06-11,2020-07-20,16,0,0,2020-03-23,2003-06-15,16,15.81,0,2014-06-11,4039676663779092,4861,2009-11-15,coding,
17,Yu,Lamb,&kE0b-Yu,8X=Hw,2014-07-31,17,rapid-span,15.15,0,2000-12-02,17,291-870-8001,36117,AL,Montgomery,100 Lake Forest Drive,0,2005-08-08,0,2018-12-10,2019-10-24,17,11,0,2018-10-20,2001-11-06,17,97.84,0,2011-06-01,4532387949377584,1603,2000-07-07,linear_algebra,
18,Leon,Lowe,+GogG5-Leon,vB3J^^,2021-11-08,18,legacy-acquisition,23.88,0,2011-11-03,18,099-482-4893,81521,CO,Fruita,242 North Ash Street,0,2015-08-17,0,2016-03-04,2011-08-20,18,19,0,2007-12-03,2006-02-16,18,75.1,0,2007-10-08,4532653045066003,4257,2009-12-22,startups,
19,Jon,Pellett,=QOn80-Jon,5lL0gS,2006-02-17,19,agile-turret,19.33,0,2021-12-30,19,983-002-8055,05446,VT,Colchester,294 East Lakeshore Drive,0,2017-05-08,0,2012-06-17,2012-08-29,19,6,0,2010-03-01,2016-12-07,19,46.48,0,2011-01-05,4716185200247969,1685,2009-07-15,fortifications,
20,Pauline,Christy,Y3gN-Pauline,(Ir2N,2012-05-01,20,vibrato-altitude,27.22,0,2009-05-22,20,684-750-7939,06040,CT,Manchester,35 Lakewood Circle South,0,2021-07-25,0,2019-07-14,2016-05-22,20,5,0,2004-04-07,2018-05-10,20,95.63,0,2012-10-18,4118511125058765,1244,2000-10-08,geometry,
21,Allen,Martin,Asa6-Allen,nq0sQX,2007-10-12,21,forward-hangar,12.73,0,2019-09-01,21,260-077-5630,06042,CT,Manchester,30 Tanner Street,0,2007-07-07,0,2020-06-26,2012-04-18,21,13,0,2006-01-13,2021-08-01,21,16.23,0,2007-05-25,4024007126207504,8607,2006-07-29,buildings,
22,Donald,Chambers,A5ey4-Donald,H7hQq,2017-10-30,22,isometric-tom,22.28,0,2004-02-03,22,771-084-4085,73114,OK,Oklahoma City,604 Northwest 118th Street,0,2008-03-27,0,2010-05-29,2012-01-11,22,7,0,2001-05-26,2001-08-05,22,49.55,0,2019-01-01,4539385981981241,8461,2003-02-03,cats,
23,Candy,Giron,f7B<h-Candy,&3N70t,2009-05-30,23,some-model,18.96,0,2001-08-25,23,418-902-0019,05765,VT,Proctor,1 Pond View Road,0,2010-01-08,0,2004-08-10,2001-12-15,23,9,0,2006-10-24,2010-12-02,23,88.21,0,2007-11-17,4556445764012909,4264,2000-08-22,algorithms,
24,James,Brodi,Rt1Vz^-James,7W_c,2010-04-27,24,plain-frieze,23.64,0,2009-03-02,24,960-290-7125,80005,CO,Arvada,9106 Ellis Way,0,2002-09-13,0,2006-03-08,2002-02-12,24,1,0,2006-05-21,2014-04-21,24,79.55,0,2007-04-25,4348070038265423,5080,2021-08-04,architecture,
25,Homer,Lo,6OlJ-Homer,n2A*O,2018-07-04,25,grizzled-coconut,16.86,0,2016-04-20,25,264-214-4027,36104,AL,Montgomery,313 Monroe Street,0,2013-12-06,0,2009-08-14,2021-11-02,25,4,0,2019-09-27,2012-08-04,25,38.31,0,2016-04-07,4916737110681741,3682,2017-08-27,fruit,
26,Jennifer,Diaz,I60s-Jennifer,^z4Km,2021-04-16,26,human-median,23.73,0,2012-10-01,26,463-066-6840,36116,AL,Montgomery,3337 Woodpark Court,0,2021-02-20,0,2010-04-10,2005-11-19,26,2,0,2021-01-16,2020-12-19,26,13.76,0,2017-04-12,4916561731277444,8253,2007-06-15,driving,
27,Michael,Degirolamo,4Q6xSi-Michael,5xS>e,2003-05-28,27,avocado-sage,12.52,0,2014-02-27,27,285-255-0851,37206,TN,Nashville,1609 Porter Avenue,0,2011-01-14,0,2011-08-21,2003-08-12,27,4,0,2011-02-08,2004-12-31,27,97.33,0,2020-04-19,4638502712179529,2188,2002-09-28,plants,
28,Regenia,Walker,2boA-Regenia,7Vy1,2000-02-19,28,snowy-surf,28.18,0,2012-11-06,28,017-926-4476,99501,AK,Anchorage,880 H Street,0,2007-09-19,0,2018-06-04,2012-05-24,28,15,0,2007-12-30,2020-01-19,28,46.87,0,2001-05-02,4485061181921097,7636,2011-09-26,water,
29,Shannon,Jester,Zw9S-Shannon,SHG7s,2012-02-01,29,cerulean-frequency,11.0,0,2005-05-09,29,398-453-2615,36108,AL,Montgomery,2572 Drake Street,0,2002-03-02,0,2004-11-15,2001-03-18,29,19,0,2021-12-24,2001-06-23,29,82.26,0,2021-07-21,4532171925736371,2526,2009-09-25,phones,
30,Robert,Digsby,amWwn2-Robert,ERm2,2020-03-06,30,plain-alphabet,27.54,0,2010-09-15,30,614-728-2960,80302,CO,Boulder,1918 Spruce Street,0,2005-02-14,0,2012-12-05,2006-11-16,30,2,0,2012-07-22,2017-12-27,30,54.54,0,2011-06-10,4916886777556306,6275,2004-10-14,algorithms,
31,Lillian,Camarillo,N=0xp-Lillian,Twcy6,2015-09-30,31,flat-quartz,20.68,0,2005-03-21,31,324-689-4112,21114,MD,Crofton,1642 Fendall Court,0,2009-01-10,0,2003-12-06,2008-10-17,31,3,0,2001-07-04,2005-07-29,31,24.22,0,2017-01-14,4544512351893572,4054,2018-01-25,minerals,
32,Kenneth,Hays,C7nQ4t-Kenneth,hMs7,2005-03-07,32,muffled-eel,21.41,0,2016-12-03,32,208-916-2332,06042,CT,Manchester,172 Homestead Street,0,2007-09-10,0,2016-10-13,2000-05-26,32,14,0,2013-09-10,2009-02-04,32,36.24,0,2019-05-13,4794966277267435,7854,2021-11-06,apex_predators,
33,Charlotte,Mcdonald,J%0yq-Charlotte,6zwTq,2004-04-21,33,sensitive-pepato,18.56,0,2009-07-13,33,211-328-9230,21146,MD,Severna Park,103 Edgewater Road,0,2005-11-11,0,2013-06-12,2006-10-19,33,17,0,2009-01-20,2011-11-29,33,39.86,0,2008-06-13,4716504143109104,4110,2018-02-15,cheese,
34,Antonio,Murphy,E=7d-Antonio,2fjZ,2008-11-12,34,matte-texture,26.75,0,2012-02-09,34,048-188-6144,31419,GA,Savannah,23 Cove Drive,0,2020-08-21,0,2011-06-03,2007-10-26,34,9,0,2001-05-04,2012-11-25,34,76.1,0,2012-05-05,4485582043311391,7137,2001-12-06,gaming,
35,Sam,Panella,U4.=j-Sam,8!Ik,2021-01-28,35,emerald-wraith,26.64,0,2006-12-17,35,254-971-5146,40210,KY,Louisville,2106 Standard Avenue,0,2003-03-05,0,2004-10-22,2004-01-14,35,4,0,2002-02-19,2012-10-16,35,39.44,0,2013-07-30,4532020459676018,1742,2018-06-05,ghosts,
36,James,Wagner,okJ0C-James,9>Ud,2005-04-20,36,sunny-identity,21.5,0,2020-12-25,36,010-663-2175,36106,AL,Montgomery,2032 Gorgas Street,0,2015-01-22,0,2020-02-11,2000-01-07,36,14,0,2015-11-13,2004-06-24,36,17.54,0,2011-09-13,4556296628848024,2068,2017-02-20,linear_algebra,
37,Amy,Rogers,0qSu-Amy,q7P3Yo,2001-10-18,37,tense-maple,24.34,0,2007-04-22,37,451-989-6473,02176,MA,Melrose,38 Renwick Road,0,2021-11-30,0,2002-10-21,2012-04-25,37,7,0,2008-03-24,2017-08-20,37,46.03,0,2016-03-28,4024007197180804,0788,2021-04-15,wood,
38,Laura,Shepperd,64bOAf-Laura,-5eH#,2021-11-28,38,fresh-twig,20.1,0,2005-04-15,38,145-305-9347,31411,GA,Savannah,1 Tanaquay Court,0,2018-09-17,0,2006-06-24,2011-05-11,38,6,0,2002-01-07,2012-12-17,38,86.34,0,2015-05-03,4532932650679981,4618,2021-11-27,plants,
39,David,Krohn,8H8doR-David,LI$wK3,2015-04-05,39,chamfered-cello,25.78,0,2008-11-22,39,982-291-0900,21012,MD,Arnold,1489 Falcon Nest Court,0,2005-12-27,0,2005-06-01,2017-12-04,39,3,0,2002-02-25,2006-07-10,39,67.85,0,2016-06-20,4916448988711251,0228,2014-08-28,music_instruments,
40,Erna,Schermerhorn,4lVs-Erna,CKm5,2019-06-26,40,sweet-vivace,20.12,0,2000-07-26,40,560-708-9548,20002,DC,Washington,1641 Kramer Street Northeast,0,2006-03-20,0,2011-07-07,2015-05-17,40,15,0,2000-05-09,2000-05-31,40,63.94,0,2018-10-15,4532940232986154,0607,2001-11-03,music_theory,
41,Karla,Priesmeyer,SJ00rb-Karla,NH6z,2011-08-15,41,plain-turkey,27.24,0,2004-12-02,41,739-848-6600,20011,DC,Washington,5208 Colorado Avenue Northwest,0,2010-01-08,0,2007-07-15,2005-12-30,41,17,0,2015-10-01,2012-02-15,41,36.12,0,2014-06-11,4556596064624684,4445,2010-10-08,meat,
42,Lee,Boatner,zd8P-Lee,cv9H,2005-08-23,42,express-editor,13.72,0,2002-10-16,42,011-461-7464,01007,MA,Belchertown,224 Michael Sears Road,0,2017-03-14,0,2019-12-12,2002-09-10,42,12,0,2008-11-14,2006-10-30,42,85.19,0,2007-01-29,4916173161942727,7025,2001-07-18,writing,
43,Alicia,Schertz,Joa2i-Alicia,ET9^gG,2001-06-10,43,nuclear-packet,19.09,0,2011-01-16,43,734-849-4978,94502,CA,Alameda,1076 Foster Street,0,2003-04-24,0,2013-08-19,2014-09-27,43,16,0,2005-09-22,2015-05-15,43,12.38,0,2005-11-15,4556795421152096,4141,2018-12-10,containers,
44,Stephanie,Reynolds,VT2iP#-Stephanie,gCF^1,2015-06-16,44,dry-dolcetto,17.27,0,2004-03-05,44,063-551-2314,72701,AR,Fayetteville,412 West Ila Street,0,2007-02-06,0,2001-09-13,2007-12-03,44,8,0,2004-07-18,2021-03-10,44,90.01,0,2019-08-17,4716071105681462,0227,2010-03-02,wine,
45,Raymond,Heinecke,Ys26k-Raymond,zR7uZ,2013-11-18,45,khaki-chili,27.84,0,2000-04-28,45,592-998-6419,85308,AZ,Glendale,7232 West Melinda Lane,0,2015-10-09,0,2009-09-30,2007-12-25,45,18,0,2007-04-11,2020-01-08,45,16.18,0,2006-10-05,4532980209643677,8612,2019-12-09,condiments,
46,Laura,Dixon,I!Q8i4-Laura,5tNOG8,2008-04-23,46,silver-bed,10.72,0,2008-02-17,46,977-646-2031,02664,MA,Yarmouth,145 Great Western Road,0,2002-08-17,0,2021-06-10,2012-11-08,46,18,0,2000-05-05,2008-01-23,46,74.35,0,2006-06-02,4317710265319289,1158,2004-02-14,3d_printing,
47,Jo,Carter,qA4MNf-Jo,0Pt_V),2006-10-25,47,green-stool,20.72,0,2004-05-04,47,258-354-0961,31322,GA,Pooler,5 Tranquil Place,0,2020-05-05,0,2010-11-24,2001-10-04,47,4,0,2010-08-31,2016-04-25,47,23.92,0,2012-01-18,4110985740087409,0048,2006-01-21,furniture,
48,Troy,Nagy,S8Pwy-Troy,wRM$0U,2017-07-19,48,metal-overhang,22.34,0,2007-05-24,48,713-841-8202,80003,CO,Arvada,7645 Marshall Street,0,2020-03-03,0,2001-05-07,2003-01-29,48,13,0,2017-05-11,2006-06-14,48,55.17,0,2004-03-14,4485424465185773,3782,2018-08-21,3d_printing,
49,Steven,Winger,T+n5-Steven,ELDgd1,2011-06-09,49,adjacent-scenario,23.7,0,2003-11-05,49,743-472-4023,05478,VT,Saint Albans City,1689 Fisher Pond Road,0,2017-04-02,0,2014-08-07,2017-04-07,49,19,0,2003-12-18,2021-05-15,49,59.43,0,2021-02-17,4716629747820218,5731,2009-01-03,corporate,
50,Mary,Walker,vp25G-Mary,nbeK2G,2007-07-16,50,piercing-tuna,18.17,0,2002-04-07,50,317-240-8714,36111,AL,Montgomery,3436 Lexington Road,0,2008-11-29,0,2012-03-24,2021-12-04,50,15,0,2007-10-03,2000-09-20,50,23.69,0,2003-02-25,4716898829940869,6164,2007-09-22,fish,
51,Joseph,Coulston,aNy0r-Joseph,$Zs2,2017-10-18,51,senior-market,19.98,0,2000-03-02,51,663-857-1821,99502,AK,Anchorage,3555 Alamosa Drive,0,2007-10-14,0,2003-03-30,2004-10-09,51,13,0,2005-03-25,2018-11-28,51,63.19,0,2014-02-14,4556780734945972,6522,2020-06-12,startups,
52,Juanita,Monahan,PO2iG-Juanita,r8ijYY,2016-07-23,52,cobalt-iteration,27.17,0,2007-10-17,52,288-516-4348,85306,AZ,Glendale,5601 West Crocus Drive,0,2009-09-23,0,2017-11-17,2005-06-02,52,15,0,2005-03-30,2015-01-08,52,97.78,0,2002-08-16,4485377062759541,4851,2021-08-03,algorithms,
53,Jose,Corcoran,1aoWua-Jose,6MfjaG,2013-04-25,53,wintry-goat,26.73,0,2002-05-13,53,296-862-5263,40208,KY,Louisville,2406 Lindbergh Drive,0,2006-07-15,0,2008-12-27,2005-01-19,53,5,0,2016-09-03,2010-06-29,53,66.37,0,2004-01-09,4024007175175206,0688,2012-11-28,meat,
54,Joseph,Boyd,v9Fp-Joseph,Oib4,2004-09-16,54,vintage-bookshelf,14.96,0,2018-12-06,54,825-847-6289,02451,MA,Waltham,2309 Stearns Hill Road,0,2012-03-05,0,2004-08-21,2003-01-15,54,7,0,2014-12-29,2008-10-16,54,96.8,0,2004-02-15,4929825287309017,2305,2010-06-01,storage,
55,Phyllis,Siske,Sd3l-Phyllis,6XqR,2006-01-29,55,ornery-ghost,29.89,0,2014-08-07,55,249-325-7589,99508,AK,Anchorage,3101 Penland Parkway,0,2018-04-02,0,2010-03-20,2007-09-29,55,15,0,2017-09-23,2003-08-22,55,89.52,0,2001-08-11,4929056879057398,2713,2018-06-14,ghosts,
56,James,Vereb,7hokA-James,12l>O,2008-07-31,56,taxonomic-mozzarella,13.16,0,2014-06-03,56,682-402-7263,72701,AR,Fayetteville,557 West Willoughby Road,0,2010-03-27,0,2011-06-13,2006-11-01,56,9,0,2010-11-05,2006-09-11,56,57.93,0,2005-10-28,4916265147725786,8323,2004-12-22,cheese,
57,Kenneth,Killian,cIg6VM-Kenneth,Nf67tS,2006-08-10,57,fixed-agate,17.07,0,2016-07-14,57,362-674-9831,31419,GA,Savannah,100 Fenwick Village Drive,0,2013-11-21,0,2010-07-17,2007-07-29,57,16,0,2004-04-30,2004-01-13,57,96.2,0,2016-11-20,4929406693354721,5264,2019-11-19,minerals,
58,Rita,Fisher,=B4snn-Rita,z9Cc8$,2020-10-16,58,linear-pulsar,22.75,0,2018-11-21,58,266-957-2161,36110,AL,Montgomery,3100 Don Juan Court,0,2015-10-04,0,2014-03-25,2013-10-06,58,12,0,2007-10-03,2013-07-24,58,75.88,0,2005-03-02,4485688624600126,7424,2020-01-06,astronomy,
59,Inez,Patton,KGu8-Inez,3Vj&S,2003-11-26,59,obnoxious-herb,19.28,0,2017-05-21,59,066-661-5920,02445,MA,Brookline,33 Pond Avenue,0,2005-02-11,0,2018-11-30,2012-10-31,59,14,0,2006-12-27,2000-10-22,59,79.38,0,2007-11-05,4556347947875824,3024,2004-02-18,plants,
60,Robin,Skidgel,1Ctc-Robin,zPp9-+,2021-06-29,60,ancient-cabriolet,13.18,0,2011-01-09,60,069-844-0165,31406,GA,Savannah,113 Dove Lane,0,2013-09-05,0,2018-03-25,2021-02-06,60,9,0,2003-07-20,2017-08-10,60,25.1,0,2020-06-24,4485301318120977,4641,2014-09-27,automobiles,
61,William,Mccalla,6uNE-William,9SznV,2000-06-29,61,plastic-flight,13.0,0,2007-05-27,61,974-579-4942,72701,AR,Fayetteville,2001 Van Hoose Drive,0,2004-01-07,0,2012-05-14,2011-07-09,61,14,0,2012-11-20,2017-04-21,61,26.3,0,2018-05-04,4485643208426034,0401,2005-05-16,gaming,
62,Earl,Todd,$R8b*O-Earl,%*9eSh,2009-05-20,62,faint-fort,23.33,0,2008-08-14,62,904-353-9306,32407,FL,Panama City Beach,9321 Amy Lane,0,2021-03-04,0,2002-12-09,2017-08-06,62,20,0,2021-05-06,2012-06-28,62,78.86,0,2016-04-20,4024007165170621,0538,2011-02-16,military_army,
63,David,Waite,4#6PLl-David,1skjY,2008-04-02,63,neat-band,20.87,0,2019-11-07,63,369-820-6603,80003,CO,Arvada,6413 Kendall Street,0,2008-12-01,0,2003-11-06,2021-06-04,63,5,0,2005-11-21,2018-06-28,63,95.09,0,2016-07-18,4539096910241066,6560,2021-04-27,phones,
64,Cheryl,Galloway,ZsoF0-Cheryl,zF4Q,2015-09-04,64,shortest-canity,11.79,0,2001-12-15,64,019-412-7338,20020,DC,Washington,1820 22nd Street Southeast,0,2000-10-06,0,2014-02-10,2021-01-31,64,20,0,2015-03-22,2013-12-31,64,41.82,0,2009-04-11,4556669085064956,3148,2019-04-05,construction,
65,Clay,Lord,0e^pGQ-Clay,6saY)f,2017-08-07,65,swift-world,12.4,0,2020-03-03,65,051-834-9780,80631,CO,Greeley,2456 22nd Avenue,0,2014-01-21,0,2008-05-13,2017-06-17,65,16,0,2008-08-10,2010-06-19,65,79.02,0,2017-11-19,4539555262305803,6271,2014-03-29,3d_graphics,
66,Ida,Pickens,qkd7XJ-Ida,w7X7Lw,2001-09-21,66,contemporary-grantor,29.63,0,2018-12-06,66,472-991-5894,21012,MD,Arnold,1102 Spy Glass Drive,0,2015-05-20,0,2007-02-11,2003-08-27,66,9,0,2007-09-26,2020-03-07,66,90.23,0,2014-11-29,4935264074021985,1500,2007-03-05,real_estate,
67,Karen,Guyton,4U3pj-Karen,nvL?6Q,2015-10-15,67,white-whisky,19.81,0,2010-05-03,67,092-691-2102,31405,GA,Savannah,5708 Beverly Street,0,2007-06-09,0,2010-02-20,2010-02-17,67,10,0,2009-08-06,2003-11-30,67,31.08,0,2017-02-28,4556930630719423,6028,2018-10-22,spirits,
68,Michael,Ashcraft,75gjJM-Michael,z9_R,2002-03-19,68,electric-colonnade,21.02,0,2004-07-19,68,520-190-3238,32401,FL,Panama City,521 East 4th Street,0,2020-02-17,0,2015-05-18,2019-03-24,68,15,0,2014-10-13,2000-05-01,68,13.42,0,2015-07-11,4916789820551763,5848,2001-10-01,architecture,
69,Antonio,Major,2IWkm-Antonio,B>z*6V,2002-09-07,69,simple-beagle,15.19,0,2006-06-24,69,350-411-7109,31415,GA,Savannah,1513 Cathy Street,0,2017-01-10,0,2017-03-29,2004-09-24,69,5,0,2000-12-21,2011-09-22,69,30.25,0,2020-06-28,4024007195602312,2742,2007-01-12,dogs,
70,John,Young,oU^9-John,Rkl1,2010-09-04,70,investor-flounder,29.24,0,2013-12-30,70,694-807-6883,21061,MD,Glen Burnie,6460 Lacrosse Lane,0,2011-10-06,0,2020-07-26,2007-03-28,70,6,0,2020-04-03,2006-06-24,70,10.13,0,2013-06-18,4897077378442806,8862,2018-09-14,fish,
71,Matthew,Calvert,t9Ku-Matthew,d8W3(g,2010-06-29,71,every-author,23.52,0,2018-07-24,71,332-215-4669,94536,CA,Fremont,3526 Sutton Loop,0,2016-11-30,0,2011-05-30,2003-05-11,71,16,0,2000-10-05,2003-01-19,71,25.11,0,2004-07-04,4929705080426012,4611,2020-05-31,vcs,
72,Ricky,Wildman,VLs5K-Ricky,3rGrD,2002-08-25,72,old-whisky,26.16,0,2013-08-04,72,515-603-4659,31410,GA,Savannah,904 Walthour Road,0,2021-11-08,0,2011-12-22,2016-01-01,72,0,0,2018-06-30,2012-03-15,72,22.71,0,2014-12-28,4916189931662692,1261,2014-07-24,spirits,
73,Jason,Duffy,o0FY-Jason,6<KoRv,2014-07-05,73,simple-effusion,22.77,0,2011-06-02,73,260-417-0587,85306,AZ,Glendale,5928 West Mauna Loa Lane,0,2004-07-08,0,2005-12-17,2016-03-31,73,0,0,2018-03-20,2006-08-28,73,11.62,0,2005-06-24,4211395929662550,7448,2005-07-13,chemistry,
74,Jennifer,Zehner,Tx8=-Jennifer,G8hi,2011-01-28,74,hidden-venture,25.44,0,2003-03-22,74,221-379-7237,32413,FL,Panama City Beach,565 North Lakeshore Drive,0,2000-08-09,0,2005-12-24,2007-10-04,74,14,0,2016-09-14,2009-11-01,74,46.27,0,2015-09-05,4024007132701201,4657,2009-08-26,startups,
75,Joan,Candler,EHr4-Joan,=obPB5,2012-02-27,75,naive-dragster,24.21,0,2002-01-02,75,459-207-3438,80004,CO,Arvada,5821 Taft Street,0,2016-01-15,0,2012-10-31,2017-05-06,75,4,0,2002-11-05,2014-05-17,75,86.66,0,2000-08-17,4024007148312902,1314,2006-07-15,automobiles,
76,Robert,Jones,zC128U-Robert,Of7ca,2003-04-09,76,oblique-lemon,29.07,0,2015-11-16,76,461-089-3187,06040,CT,Manchester,165 Saint John Street,0,2016-12-11,0,2014-10-31,2002-08-02,76,14,0,2015-11-08,2012-12-06,76,60.33,0,2015-03-12,4916809697310448,3772,2008-06-30,seasonings,
77,Jeff,Norman,n8iaLe-Jeff,NTgQ0^,2018-06-02,77,warped-angora,22.4,0,2000-04-02,77,807-756-1331,73071,OK,Norman,433 Keith Street,0,2014-09-11,0,2011-02-10,2017-12-11,77,8,0,2002-02-27,2001-09-14,77,67.33,0,2002-12-01,4532208914479991,5230,2004-01-02,cats,
78,John,Rojas,EGm1-John,ke09A,2018-09-17,78,messy-grape,17.51,0,2012-08-19,78,594-151-7483,99567,AK,Anchorage,22424 Birchwood Loop Road,0,2008-08-30,0,2010-02-07,2006-03-25,78,1,0,2007-06-18,2008-10-23,78,53.47,0,2001-06-14,4716798938531015,6265,2003-09-27,fruit,
79,Charles,Kennedy,9JuA-Charles,M56Cx,2019-03-15,79,warm-damask,12.54,0,2018-04-08,79,780-230-0250,40242,KY,Lyndon,1726 Bridgeview Lane,0,2007-03-06,0,2016-09-23,2016-11-05,79,11,0,2003-05-18,2003-08-22,79,74.63,0,2005-08-04,4539405411800470,3278,2018-09-29,cotton,
